107493.5714	612.3858753	23367.52322	9167.810679
107393.5723	612.3960631	23367.11369	9167.759935
107293.5731	612.4062889	23366.70267	9167.709003
107193.574	612.4165529	23366.29013	9167.657882
107093.5749	612.4268552	23365.87609	9167.606571
106993.5758	612.437196	23365.46052	9167.555069
106893.5766	612.4475755	23365.04343	9167.503376
106793.5775	612.4579938	23364.6248	9167.45149
106693.5784	612.4684512	23364.20464	9167.399411
106593.5793	612.4789479	23363.78292	9167.347138
106493.5802	612.4894839	23363.35965	9167.29467
106393.5812	612.5000595	23362.93482	9167.242006
106293.5821	612.510675	23362.50842	9167.189145
106193.583	612.5213304	23362.08044	9167.136085
106093.5839	612.532026	23361.65087	9167.082828
105993.5849	612.5427619	23361.21972	9167.02937
105893.5858	612.5535383	23360.78697	9166.975712
105793.5868	612.5643555	23360.35261	9166.921852
105693.5878	612.5752137	23359.91664	9166.86779
105593.5887	612.5861129	23359.47905	9166.813524
105493.5897	612.5970535	23359.03983	9166.759054
105393.5907	612.6080355	23358.59898	9166.704378
105293.5917	612.6190593	23358.15648	9166.649496
105193.5927	612.630125	23357.71233	9166.594407
105093.5937	612.6412328	23357.26652	9166.539109
104993.5947	612.6523828	23356.81905	9166.483602
104893.5958	612.6635754	23356.3699	9166.427885
104793.5968	612.6748107	23355.91907	9166.371957
104693.5978	612.686089	23355.46656	9166.315816
104593.5989	612.6974103	23355.01234	9166.259462
104493.5999	612.7087749	23354.55642	9166.202894
104393.601	612.7201831	23354.09879	9166.14611
104293.6021	612.731635	23353.63943	9166.08911
104193.6031	612.7431309	23353.17835	9166.031893
104093.6042	612.754671	23352.71553	9165.974457
103993.6053	612.7662554	23352.25097	9165.916802
103893.6064	612.7778844	23351.78465	9165.858926
103793.6075	612.7895581	23351.31657	9165.800829
103693.6087	612.8012769	23350.84672	9165.74251
103593.6098	612.813041	23350.37509	9165.683966
103493.6109	612.8248505	23349.90168	9165.625198
103393.6121	612.8367056	23349.42647	9165.566204
103293.6132	612.8486067	23348.94945	9165.506984
103193.6144	612.8605539	23348.47063	9165.447535
103093.6156	612.8725474	23347.98998	9165.387857
102993.6168	612.8845874	23347.50751	9165.327949
102893.618	612.8966743	23347.0232	9165.26781
102793.6192	612.9088081	23346.53704	9165.207439
102693.6204	612.9209892	23346.04903	9165.146834
102593.6216	612.9332178	23345.55915	9165.085994
102493.6228	612.9454941	23345.0674	9165.024919
102393.6241	612.9578183	23344.57377	9164.963606
102293.6253	612.9701907	23344.07825	9164.902056
102193.6266	612.9826116	23343.58083	9164.840267
102093.6278	612.995081	23343.0815	9164.778237
101993.6291	613.0075993	23342.58025	9164.715965
101893.6304	613.0201668	23342.07708	9164.653451
101793.6317	613.0327836	23341.57197	9164.590693
101693.633	613.04545	23341.06492	9164.52769
101593.6343	613.0581663	23340.55591	9164.464441
101493.6356	613.0709327	23340.04494	9164.400945
101393.637	613.0837494	23339.532	9164.337199
101293.6383	613.0966167	23339.01707	9164.273204
101193.6397	613.1095348	23338.50015	9164.208958
101093.641	613.122504	23337.98123	9164.144459
100993.6424	613.1355246	23337.4603	9164.079707
100893.6438	613.1485968	23336.93735	9164.0147
100793.6452	613.1617208	23336.41237	9163.949437
100693.6466	613.1748969	23335.88534	9163.883917
100593.648	613.1881254	23335.35627	9163.818138
100493.6495	613.2014065	23334.82514	9163.752099
100393.6509	613.2147405	23334.29193	9163.685799
100293.6524	613.2281277	23333.75665	9163.619237
100193.6538	613.2415683	23333.21928	9163.552411
100093.6553	613.2550626	23332.67981	9163.48532
99993.65681	613.2686108	23332.13822	9163.417963
99893.65831	613.2822132	23331.59452	9163.350338
99793.65982	613.2958702	23331.04868	9163.282444
99693.66135	613.3095819	23330.50071	9163.21428
99593.66289	613.3233486	23329.95058	9163.145844
99493.66444	613.3371707	23329.39829	9163.077135
99393.666	613.3510484	23328.84383	9163.008152
99293.66757	613.3649819	23328.28719	9162.938894
99193.66916	613.3789716	23327.72835	9162.869358
99093.67076	613.3930178	23327.16731	9162.799543
98993.67237	613.4071206	23326.60405	9162.729449
98893.674	613.4212805	23326.03857	9162.659074
98793.67563	613.4354977	23325.47084	9162.588416
98693.67728	613.4497724	23324.90088	9162.517474
98593.67895	613.4641051	23324.32865	9162.446246
98493.68062	613.4784959	23323.75415	9162.374731
98393.68231	613.4929452	23323.17737	9162.302928
98293.68402	613.5074532	23322.5983	9162.230836
98193.68574	613.5220204	23322.01693	9162.158452
98093.68747	613.5366468	23321.43324	9162.085775
97993.68921	613.551333	23320.84722	9162.012804
97893.69097	613.5660791	23320.25886	9161.939537
97793.69274	613.5808855	23319.66816	9161.865973
97693.69453	613.5957525	23319.0751	9161.792111
97593.69633	613.6106804	23318.47966	9161.717948
97493.69815	613.6256695	23317.88184	9161.643483
97393.69998	613.6407201	23317.28162	9161.568716
97293.70182	613.6558326	23316.67899	9161.493643
97193.70368	613.6710072	23316.07394	9161.418264
97093.70556	613.6862443	23315.46646	9161.342577
96993.70745	613.7015442	23314.85654	9161.266581
96893.70935	613.7169072	23314.24416	9161.190274
96793.71127	613.7323336	23313.62931	9161.113654
96693.71321	613.7478239	23313.01198	9161.03672
96593.71516	613.7633782	23312.39216	9160.95947
96493.71713	613.778997	23311.76983	9160.881902
96393.71911	613.7946805	23311.14498	9160.804016
96293.72111	613.8104291	23310.5176	9160.725808
96193.72313	613.8262432	23309.88768	9160.647279
96093.72516	613.8421231	23309.2552	9160.568425
95993.72721	613.8580691	23308.62015	9160.489246
95893.72928	613.8740815	23307.98252	9160.409739
