Gene	Expression
Cebpa	1.62930764
Cebpa	1.01953168
Cebpa	1.49317912
Cebpa	1.43088095
Cebpa	0
Cebpa	1.02489596
Cebpa	0.34635297
Cebpa	1.4295908
Cebpa	1.04960561
Cebpa	1.66866542
Cebpa	1.33865567
Cebpa	0.86272753
Cebpa	1.52840244
Cebpa	0
Cebpa	1.40174508
Cebpa	0
Cebpa	1.50947135
Cebpa	1.66238002
Cebpa	1.71667098
Cebpa	1.35793485
Cebpa	1.35044186
Cebpa	0.90471555
Cebpa	0
Cebpa	1.29819787
Cebpa	1.94319763
Cebpa	1.32756326
Cebpa	1.09760433
Cebpa	1.28194193
Cebpa	1.19672872
Cebpa	1.04649516
Cebpa	1.69870935
Cebpa	1.66810624
Cebpa	1.50664031
Cebpa	1.12385164
Cebpa	1.28080593
Cebpa	1.65224634
Cebpa	0.94890176
Cebpa	1.60938094
Cebpa	0
Cebpa	1.15775889
Cebpa	0.98855896
Cebpa	1.64630568
Cebpa	0.39093511
Cebpa	0.18469143
Cebpa	0.39967372
Cebpa	1.31281183
Cebpa	1.45591024
Cebpa	0.72591163
Cebpa	0
Cebpa	1.06445799
Cebpa	0
Cebpa	0.88024178
Cebpa	1.00259798
Cebpa	1.30578115
Cebpa	1.23223352
Cebpa	1.28623185
Cebpa	1.45270623
Cebpa	1.20844136
Cebpa	1.3628593
Cebpa	0.37106786
Cebpa	1.80827851
Cebpa	0.91803034
Cebpa	1.62808226
Cebpa	1.09656244
Cebpa	0
Cebpa	1.18582536
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.20736504
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.61257195
Cebpa	1.19865709
Cebpa	1.62179922
Cebpa	0
Cebpa	0
Cebpa	0.92582757
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.12188799
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.61172331
Cebpa	1.4034637
Cebpa	1.28668097
Cebpa	0.22010809
Cebpa	0.98000337
Cebpa	1.35372394
Cebpa	1.06295783
Cebpa	0.83122969
Cebpa	0.72672721
Cebpa	1.56608378
Cebpa	1.28914284
Cebpa	0
Cebpa	1.51982799
Cebpa	1.64256344
Cebpa	0.86213138
Cebpa	1.88812331
Cebpa	1.58183592
Cebpa	1.32014629
Cebpa	1.29710365
Cebpa	1.45331834
Cebpa	1.63296317
Cebpa	1.56288738
Cebpa	1.50609896
Cebpa	0.88592634
Cebpa	1.4271614
Cebpa	1.71045586
Cebpa	1.53516749
Cebpa	0.42975228
Cebpa	1.52788757
Cebpa	1.17955179
Cebpa	0.55145
Cebpa	0
Cebpa	1.46805179
Cebpa	1.14643814
Cebpa	1.40363519
Cebpa	1.19423675
Cebpa	1.37309599
Cebpa	1.36097188
Cebpa	1.14488542
Cebpa	1.51877707
Cebpa	1.74865309
Cebpa	1.66209645
Cebpa	1.1532049
Cebpa	1.11991541
Cebpa	1.12155984
Cebpa	1.37069809
Cebpa	1.54082981
Cebpa	0
Cebpa	0
Cebpa	1.23299611
Cebpa	1.46582882
Cebpa	1.36679638
Cebpa	1.04099769
Cebpa	0
Cebpa	1.21325205
Cebpa	1.31680875
Cebpa	0
Cebpa	1.82911071
Cebpa	1.60508946
Cebpa	1.34849957
Cebpa	0
Cebpa	1.65069598
Cebpa	1.23044892
Cebpa	0
Cebpa	0
Cebpa	1.6842168
Cebpa	0
Cebpa	1.38863397
Cebpa	1.61878002
Cebpa	1.70722942
Cebpa	1.61626541
Cebpa	1.09586645
Cebpa	0
Cebpa	2.01569499
Cebpa	1.84516008
Cebpa	1.65427283
Cebpa	1.05842602
Cebpa	1.66717267
Cebpa	1.69010744
Cebpa	1.4401216
Cebpa	0
Cebpa	0
Cebpa	0.7411516
Cebpa	1.06445799
Cebpa	0.98855896
Cebpa	1.1568519
Cebpa	1.44529277
Cebpa	0
Cebpa	0
Cebpa	0.91222206
Cebpa	1.02978947
Cebpa	0
Cebpa	1.81077001
Cebpa	1.04414762
Cebpa	0
Cebpa	0.83632412
Cebpa	0
Cebpa	0
Cebpa	0.83758844
Cebpa	0.33041377
Cebpa	0.86687781
Cebpa	0
Cebpa	1.32159843
Cebpa	0
Cebpa	0
Cebpa	1.02077549
Cebpa	1.49262072
Cebpa	1.08600371
Cebpa	1.8302678
Cebpa	1.17376882
Cebpa	1.30211438
Cebpa	1.04921802
Cebpa	1.41010208
Cebpa	0.69019608
Cebpa	1.4352071
Cebpa	1.19838213
Cebpa	1.19117146
Cebpa	1.46164857
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.18184359
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.43775056
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.24427712
Cebpa	1.28194193
Cebpa	1.02978947
Cebpa	1.25017595
Cebpa	1.10140335
Cebpa	0
Cebpa	0
Cebpa	0.82347423
Cebpa	0
Cebpa	1.13161866
Cebpa	1.41630759
Cebpa	0
Cebpa	1.40891802
Cebpa	1.09166696
Cebpa	0.46834733
Cebpa	1.30319606
Cebpa	1.21192108
Cebpa	1.17551181
Cebpa	1.22063102
Cebpa	0
Cebpa	0.20682588
Cebpa	0.70329138
Cebpa	0.93651374
Sox9	0
Sox9	0.539076099
Sox9	0
Sox9	0
Sox9	0
Sox9	0.904715545
Sox9	0
Sox9	0
Sox9	0
Sox9	0.975431809
Sox9	0.989004616
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.906873535
Sox9	0.133538908
Sox9	1.624797579
Sox9	0.600972896
Sox9	0.133538908
Sox9	0.588831726
Sox9	0
Sox9	1.046495164
Sox9	0
Sox9	0
Sox9	0.792391689
Sox9	1.839163683
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.164352856
Sox9	0
Sox9	0
Sox9	0
Sox9	0.970811611
Sox9	0
Sox9	0.737192643
Sox9	0
Sox9	0
Sox9	0.484299839
Sox9	0
Sox9	1.161667412
Sox9	0
Sox9	0
Sox9	0.546542663
Sox9	1.441538039
Sox9	0
Sox9	0
Sox9	0.848189117
Sox9	1.089198367
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.856124444
Sox9	0
Sox9	0.912753304
Sox9	0
Sox9	0.146128036
Sox9	0.133538908
Sox9	0
Sox9	0.912753304
Sox9	0
Sox9	0
Sox9	0
Sox9	0.380211242
Sox9	0
Sox9	1.245759356
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.611723308
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	1.525951341
Sox9	1.21005085
Sox9	0.982723388
Sox9	1.080626487
Sox9	1.3586961
Sox9	0.541579244
Sox9	1.373279893
Sox9	0
Sox9	0.442479769
Sox9	0.492760389
Sox9	0
Sox9	2.181214548
Sox9	0
Sox9	1.214578954
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.63447727
Sox9	0
Sox9	1.535420718
Sox9	0
Sox9	0
Sox9	1.359835482
Sox9	0.837588438
Sox9	0
Sox9	0
Sox9	0.982723388
Sox9	0
Sox9	0
Sox9	0
