Gene	Expression
Sox9	3.003843817
Sox9	2.074779882
Sox9	2.284430734
Sox9	1.605089462
Sox9	1.59439255
Sox9	1.619406411
Sox9	1.808683509
Sox9	1.320769228
Sox9	1.104828404
Sox9	1.408239965
Sox9	2.081347308
Sox9	0.563481085
Sox9	0
Sox9	2.078311787
Sox9	1.164352856
Sox9	1.002597981
Sox9	1.665674781
Sox9	1.914713287
Sox9	1.388811413
Sox9	1.514414921
Sox9	1.36267093
Sox9	2.000824377
Sox9	1.976212377
Sox9	0.62838893
Tgfbr2	1.305136319
Tgfbr2	1.356025857
Tgfbr2	0.723455672
Tgfbr2	0.923244019
Tgfbr2	1.026941628
Tgfbr2	0.629409599
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.546048866
Tgfbr2	1.144262774
Tgfbr2	1.258637283
Tgfbr2	1.686278678
Tgfbr2	0
Tgfbr2	1.332236415
Tgfbr2	1.575649615
Tgfbr2	0.91750551
Tgfbr2	1.192567453
Tgfbr2	0
Tgfbr2	1.303627976
Tgfbr2	0
Tgfbr2	1.395151592
Tgfbr2	1.200303183
Tgfbr2	1.581494542
Tgfbr2	0.127104798
Tgfbr2	1.40363519
Tgfbr2	0.904174368
Tgfbr2	1.021602716
Tgfbr2	0.758911892
Tgfbr2	1.019946682
Tgfbr2	1.494293769
Tgfbr2	1.517855419
Tgfbr2	1.3586961
Tgfbr2	1.463892989
Tgfbr2	1.321184027
Tgfbr2	0
Tgfbr2	1.429106008
Tgfbr2	1.068927612
Tgfbr2	1.246498581
Tgfbr2	1.282395505
Tgfbr2	0.830588669
Tgfbr2	0
Tgfbr2	1.250175948
Tgfbr2	1.602059991
Tgfbr2	1.33725954
Tgfbr2	0.100370545
Tgfbr2	1.424391554
Tgfbr2	0.733197265
Tgfbr2	1.57205799
Tgfbr2	0.994317153
Tgfbr2	1.27485032
Tgfbr2	1.215108581
Tgfbr2	0.979092901
Tgfbr2	0.511883361
Tgfbr2	1.156851901
Tgfbr2	1.118264726
Tgfbr2	1.489395922
Tgfbr2	0
Tgfbr2	1.351603072
Tgfbr2	0.764922985
Tgfbr2	1.254064453
Tgfbr2	0
Tgfbr2	0.880813592
Tgfbr2	0
Tgfbr2	0.369215857
Tgfbr2	0.989449818
Tgfbr2	1.020775488
Tgfbr2	1.095169351
Tgfbr2	0
Tgfbr2	0
