Gene	Expression
Cebpa	1.32756326
Cebpa	1.097604329
Cebpa	1.281941933
Cebpa	1.196728723
Cebpa	1.046495164
Cebpa	1.698709349
Cebpa	0.390935107
Cebpa	1.362859303
Cebpa	0
Cebpa	1.207365037
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.612571954
Cebpa	1.198657087
Cebpa	1.621799224
Cebpa	0
Cebpa	0
Cebpa	0.925827575
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.121887985
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.611723308
Cebpa	1.403463701
Cebpa	1.286680969
Cebpa	0.220108088
Cebpa	0.980003372
Cebpa	1.353723938
Cebpa	1.062957834
Cebpa	0.831229694
Cebpa	0.726727209
Cebpa	1.566083784
Cebpa	1.289142836
Cebpa	0
Cebpa	1.519827994
Cebpa	1.642563437
Cebpa	1.1532049
Cebpa	1.23299611
Cebpa	1.465828815
Cebpa	1.366796383
Cebpa	1.040997692
Cebpa	0
Cebpa	1.213252052
Cebpa	1.605089462
Cebpa	1.388633969
Cebpa	1.618780025
Cebpa	1.707229419
Cebpa	1.616265405
Cebpa	1.095866453
Cebpa	0
Cebpa	0.836324116
Cebpa	0
Cebpa	0
Cebpa	0.837588438
Cebpa	0.330413773
Cebpa	0.866877814
Cebpa	0
Cebpa	1.32159843
Cebpa	0
Cebpa	0
Cebpa	1.020775488
Cebpa	1.492620722
Cebpa	1.086003706
Cebpa	1.830267801
Cebpa	1.173768823
Cebpa	1.302114377
Cebpa	1.049218023
Cebpa	1.410102077
Cebpa	0.69019608
Cebpa	1.435207103
Cebpa	1.19838213
Cebpa	1.191171456
Cebpa	1.461648568
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.823474229
Cebpa	1.416307587
Cebpa	1.408918021
Sox9	0
Sox9	0.539076099
Sox9	0
Sox9	0
Sox9	0
Sox9	0.904715545
Sox9	0
Sox9	0
Sox9	0
Sox9	0.975431809
Sox9	0.989004616
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.906873535
Sox9	0.133538908
Sox9	1.624797579
Sox9	0.600972896
Sox9	0.133538908
Sox9	0.588831726
Sox9	0
Sox9	1.046495164
Sox9	0
Sox9	0
Sox9	0.792391689
Sox9	1.839163683
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.164352856
Sox9	0
Sox9	0
Sox9	0
Sox9	0.970811611
Sox9	0
Sox9	0.737192643
Sox9	0
Sox9	0
Sox9	0.484299839
Sox9	0
Sox9	1.161667412
Sox9	0
Sox9	0
Sox9	0.546542663
Sox9	1.441538039
Sox9	0
Sox9	0
Sox9	0.848189117
Sox9	1.089198367
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.856124444
Sox9	0
Sox9	0.912753304
Sox9	0
Sox9	0.146128036
Sox9	0.133538908
Sox9	0
Sox9	0.912753304
Sox9	0
Sox9	0
Sox9	0
Sox9	0.380211242
Sox9	0
Sox9	1.245759356
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.611723308
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	1.525951341
Sox9	1.21005085
Sox9	0.982723388
Sox9	1.080626487
Sox9	1.3586961
Sox9	0.541579244
Sox9	1.373279893
Sox9	0
Sox9	0.442479769
Sox9	0.492760389
Sox9	0
Sox9	2.181214548
Sox9	0
Sox9	1.214578954
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.63447727
Sox9	0
Sox9	0
Sox9	0
Sox9	1.359835482
Sox9	0.837588438
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.94792362
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.726727209
Sox9	1.222716471
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.971275849
Sox9	0
Sox9	0
Sox9	0
Sox9	0.503790683
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.575187845
Sox9	0
Sox9	0
Sox9	0.605305046
Sox9	1.299507299
Sox9	0
Sox9	0.77815125
Sox9	0.136720567
Sox9	1.172602931
Sox9	0
Sox9	0.693726949
Sox9	0.847572659
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.662757832
Sox9	0
Sox9	0
Sox9	0
Sox9	1.599992178
Sox9	1.638589083
Sox9	1.534280005
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.133538908
Sox9	0.699837726
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.413299764
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.170261715
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	1.626237685
Sox9	0
Sox9	0.877371346
Sox9	0.617000341
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.64738297
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.139879086
Sox9	0
Sox9	0
Sox9	0
Sox9	0.498310554
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.222716471
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0.133538908
Sox9	2.241347217
Sox9	1.894205259
Sox9	2.048830087
Sox9	0.787460475
Sox9	2.24137213
Sox9	2.243608461
Sox9	2.597640347
Sox9	2.042378598
Sox9	0.899820502
Sox9	0
Sox9	0
Sox9	0
Sox9	0.123851641
Sox9	2.274180949
Sox9	2.031691169
Sox9	0
Sox9	0.103803721
Sox9	0
Sox9	0.839478047
Sox9	0
Sox9	1.820004307
Sox9	0.11058971
Sox9	0
Sox9	0
Sox9	1.829175074
Sox9	1.619719266
Sox9	0
Sox9	0
Sox9	2.381024781
Sox9	2.279347492
Sox9	2.32756326
Sox9	1.888123307
Sox9	2.529443188
Sox9	1.219584526
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	2.243831462
Sox9	2.506383251
Sox9	0.982723388
Sox9	2.737733186
Sox9	2.399673721
Sox9	0
Sox9	0
Sox9	2.104179719
Sox9	0.805500858
Sox9	2.521138084
Sox9	1.207634367
Sox9	1.788380515
Sox9	2.125838964
Sox9	2.668432512
Sox9	2.523668443
Sox9	2.925853333
Sox9	2.579634997
Sox9	2.12567641
Sox9	2.666265193
Sox9	2.647069852
Sox9	2.462457896
Sox9	2.33243846
Sox9	0.889301703
Sox9	1.537944959
Sox9	2.42737249
Sox9	2.408511315
Sox9	1.998520883
Sox9	2.47259557
Sox9	2.651471852
Sox9	1.781539969
Sox9	1.002166062
Sox9	2.780526127
Sox9	2.228451691
Sox9	0
Sox9	0.910624405
Sox9	0.120573931
Sox9	2.125936467
Sox9	2.503313923
Sox9	0.776701184
Sox9	2.126910295
Sox9	2.093421685
Sox9	1.731508184
Sox9	2.246793919
Sox9	2.536545818
Sox9	2.292123104
Sox9	2.102536607
Sox9	1.745855195
Sox9	2.006594386
Sox9	2.670208732
Sox9	2.403686623
Sox9	1.030599722
Sox9	1.991403303
Sox9	1.618884485
Sox9	1.501470072
Sox9	1.23578087
Sox9	1.690727544
Sox9	2.269022335
Sox9	0.661812686
Sox9	1.018284308
Sox9	1.16790781
Sox9	1.249687428
Sox9	0.482873584
Sox9	0
Sox9	2.166814799
Sox9	1.845346137
Sox9	1.379486814
Sox9	0.10720997
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	0
Sox9	2.163459552
Sox9	1.933183479
Sox9	2.050650381
Sox9	0.507855872
Sox9	1.368472838
Sox9	0
Tgfbr2	1.059941888
Tgfbr2	1.220369632
Tgfbr2	0
Tgfbr2	0
Tgfbr2	1.154728207
Tgfbr2	0.62324929
Tgfbr2	0
Tgfbr2	0.86923172
Tgfbr2	1.314709693
Tgfbr2	0.139879086
Tgfbr2	0
Tgfbr2	1.143951116
Tgfbr2	1.23578087
Tgfbr2	0
Tgfbr2	1.123524981
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.916453949
Tgfbr2	0.84135947
Tgfbr2	1.148910993
Tgfbr2	1.128076013
Tgfbr2	0.767155866
Tgfbr2	0
Tgfbr2	1.22297645
Tgfbr2	0
Tgfbr2	0.790988475
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.5132176
Tgfbr2	1.123524981
Tgfbr2	1.632558515
Tgfbr2	0.609594409
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.793790385
Tgfbr2	0
Tgfbr2	1.1752218
Tgfbr2	0
Tgfbr2	0.328379603
Tgfbr2	0.685741739
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0
Tgfbr2	0.240549248
Tgfbr2	1.203032887
Tgfbr2	1.414639147
Tgfbr2	1.36567514
Tgfbr2	1.18723862
Tgfbr2	0.971739591
Tgfbr2	0
Tgfbr2	0.974971994
Tgfbr2	0.311753861
Tgfbr2	0
Tgfbr2	0.781036939
Tgfbr2	0.92890769
Tgfbr2	0
